abasto
pires
pocas
ponte
pontes
porciuncula
portela
porto
portugal
povoas
prada
prado
prates
prestes
proenca
protasio
prudente
pureza
quadros
quaresma
queiroga
queiros
quental
quesado
quina
quinaz
quinta
quintal
quintana
quintanilha
quintas
quintais
quintao
quinteiro
quintela
quinterno
quinzeiro
quirino
rabelo
ramalho
raminhos
ramires
ramos
rangel
raposo
rebelo
rebimbas
rebocho
rebotim
reboucas
redondo
regalado
rego
regodeiro
regueira
rei
reino
reis
remigio
resende
ribas
ribeiro
rico
rijo
rios
robalinho
robalo
rocadas
rocha
rodovalho
rodrigues
rolim
roriz
rosa
rosado
rosario
rosmaninho
rua
ruas
ruela
rufino
sa
sabala
sabrosa
sacadura
sacramento
salazar
saldanha
sales
salgado
salgueiro
salvado
saloio
salomao
saltao
sampaio
sanches
sandinha
santana
santarem
santiago
santos
saraiva
sardinha
sardo
sarmento
seabra
seixas
semedo
serpa
serralheiro
serro
sesimbra
setubal
severiano
severo
silva
silveira
silvestre
simas
simoes
simao
sintra
sitima
sequeira
soares
sobral
sobreira
sodre
soeiro
sousa
souto
souto maior
soveral
soverosa
tabanez
taborda
tabosa
talhao
tavares
taveira
taveiros
tavora
teixeira
tedim
teles
telinhos
temes
teodoro
terra
teves
tigre
tinoco
toledo
tome
torquato
torrado
torreiro
torres
toscano
travassos
toste
trigueiro
trindade
tristao
tuna
uchoa
ulhoa
uria
urias
valadao
valadares
valadim
valcacer
valcanaia
vale
valente
valentim
valerio
valgueiro
valido
valim
valverde
varanda
varao
varejao
varela
vargas
vasconcelos
vasques
vaz
veiga
velasco
velasques
veleda
veloso
ventura
vergueiro
verissimo
viana
vidal
vides
vidigal
viegas
vieira
vigario
vila-cha
vilaca
vilalobos
vilanova
vilante
vilar
vilarica
vilarinho
vilas boas
vilaverde
vilela
vilhena
vinhas
vital
viveiros
xavier
ximenes
xisto
zagalo
zambujal
zarco
